ks2emss_grp,p8est,p8esteng,p8estmat,p8estebac,p8estopen
1,18.47,4.37,2.6,5.15,6.36
2,19.8,4.9,2.74,5.21,6.96
3,22.66,5.5,3.43,6.02,7.71
4,24.26,5.82,3.83,6.48,8.14
5,26.14,6.23,4.27,6.98,8.66
6,27.76,6.57,4.67,7.44,9.08
7,29.39,6.86,5.02,7.9,9.6
8,30.86,7.19,5.41,8.31,9.94
9,32.36,7.47,5.79,8.76,10.34
10,33.75,7.74,6.11,9.16,10.73
11,35.22,8.01,6.46,9.62,11.12
12,37.02,8.38,6.88,10.16,11.6
13,38.59,8.67,7.25,10.64,12.04
14,40.22,8.97,7.62,11.14,12.48
15,41.92,9.31,7.96,11.69,12.96
16,43.58,9.6,8.34,12.23,13.4
17,45.68,9.99,8.8,12.93,13.96
18,47.4,10.3,9.17,13.51,14.42
19,49.53,10.68,9.63,14.24,14.99
20,51.83,11.1,10.12,15.01,15.6
21,54.11,11.48,10.61,15.8,16.21
22,56.46,11.92,11.12,16.61,16.81
23,58.93,12.3,11.69,17.47,17.48
24,61.45,12.74,12.19,18.33,18.18
25,63.73,13.17,12.66,19.08,18.81
26,66.36,13.6,13.22,20.01,19.53
27,68.78,13.99,13.76,20.79,20.23
28,71.07,14.32,14.32,21.6,20.83
29,73.43,14.75,14.8,22.37,21.52
30,75.58,15.1,15.27,23.07,22.13
31,77.74,15.44,15.72,23.78,22.8
32,79.4,15.66,16.12,24.3,23.33
33,81.51,16.12,16.46,24.92,24.01
34,82.89,16.33,16.66,25.41,24.49
